column,dtype,non_null_n,non_null_fraction,description,example_value
SRC_NAME,object,5865,1.0,,b'4FGL_J0001.6-4156'
RAJ2000,float64,5865,1.0,Right ascension in degrees (J2000).,0.386479595833
DECJ2000,float64,5865,1.0,Declination in degrees (J2000).,-41.9237053972
BLAZAR_CLASS,object,5865,1.0,BlazEr1 source class.,b'bcu'
CONF_BLAZAR,float64,5865,1.0,,1.0
FGL_SRC_NAME,object,5865,1.0,,b'4FGL_J0001.6-4156'
BZCAT_SRC_NAME,object,1854,0.316113,,b'-'
HSP_SRC_NAME,object,2112,0.360102,,b'-'
HIGHZ_SRC_NAME,object,2112,0.360102,,b'-'
MILLIQUAS_SRC_NAME,object,2184,0.372379,,b'MILLIQUAS_J000132.7-415525'
KDEBLLACS_SRC_NAME,object,2509,0.427792,,b'-'
WIBRALS2_SRC_NAME,object,4109,0.700597,,b'WIBRaLS2_J000132.74-415525.2'
ABC_SRC_NAME,object,4394,0.74919,,b'-'
BROS_SRC_NAME,object,5865,1.0,,b'-'
ANGSEP,float64,5865,1.0,,0.0003057477701349
DETUID,object,5865,1.0,,b'em01_002132_020_ML00001_002_c010'
IAUNAME,object,5865,1.0,,b'1eRASS J000132.7-415526'
SKYTILE,int64,5865,1.0,,2132
ID_SRC,int64,5865,1.0,,1
UID,int64,5865,1.0,,100213200001
UID_HARD,int64,5865,1.0,,200213200001
ID_CLUSTER,int64,5865,1.0,,1
RA,float64,5865,1.0,,0.3865549832508098
RA_ERR,object,5865,1.0,,[-0.4500782   0.42805532]
DEC,float64,5865,1.0,,-41.92400595588937
DEC_ERR,object,5865,1.0,,[-0.40199226  0.39735112]
RA_RAW,float64,5865,1.0,,0.386711827470504
DEC_RAW,float64,5865,1.0,,-41.923944059002
POS_ERR,float64,5865,1.0,,1.0298609733581543
RADEC_ERR,float64,5865,1.0,,0.6209341883659363
LII,float64,5865,1.0,,334.32018228806766
BII,float64,5865,1.0,,-72.02916122043939
ELON,float64,5865,1.0,,340.6577394971468
