citation_key,citation_count,entry_type,year,journal_or_container,volume,pages_or_eid,doi,url,audit_status,audit_note
Abdo2010_1LAC,1,ARTICLE,,"ApJ}, year = {2010}, volume = {715}, pages = {429--457",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Abdollahi2020Fermi4FGL,1,ARTICLE,,"ApJS}, year = {2020}, volume = {247}, eid = {33",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Abe2026Extreme,5,ARTICLE,,"ApJ}, year = {2026}, volume = {1002}, eid = {138",,,10.3847/1538-4357/ae5a8a,,PASS,ApJ journal reference and DOI verified through arXiv/LST publication record.
Acciari2020Extreme,5,ARTICLE,,"ApJS}, year = {2020}, volume = {247}, eid = {16",,,10.3847/1538-4365/ab5b98,,PASS,"ApJS 247, 16 DOI verified."
Acero2015_3FGL,1,ARTICLE,,"ApJS}, year = {2015}, volume = {218}, eid = {23",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Aharonian2006HESS,1,ARTICLE,,"A\&A}, year = {2006}, volume = {457}, pages = {899--915",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Ajello2022_4LACDR3,1,ARTICLE,,"ApJS}, year = {2022}, volume = {263}, eid = {24",,,,,PASS,Official Fermi 4LAC-DR3 record identifies 12-year AGN catalogue.
Arsioli2015_1WHSP,1,ARTICLE,,"A\&A}, year = {2015}, volume = {579}, eid = {A34",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Atwood2009LAT,1,ARTICLE,,"ApJ}, year = {2009}, volume = {697}, pages = {1071--1102",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Ballet2023DR4,1,ARTICLE,,"arXiv e-prints}, year = {2023}, eid = {arXiv:2307.12546",,,,,PASS,Official Fermi 4FGL-DR4 product identifies 14-year release.
BiteauWilliams2015,1,ARTICLE,,"ApJ}, year = {2015}, volume = {812}, eid = {60",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
